3,C,kernel,gamma,degree,accuracy
51,0.0001,rbf,auto,3,0.5411764705882353
47,0.0001,rbf,scale,6,0.5411764705882353
34,0.0001,poly,scale,7,0.5411764705882353
45,0.0001,rbf,scale,4,0.5411764705882353
44,0.0001,rbf,scale,3,0.5411764705882353
195,0.1,sigmoid,auto,7,0.5411764705882353
192,0.1,sigmoid,auto,4,0.5411764705882353
191,0.1,sigmoid,auto,3,0.5411764705882353
190,0.1,sigmoid,auto,2,0.5411764705882353
189,0.1,sigmoid,auto,1,0.5411764705882353
14,0.0001,sigmoid,scale,1,0.5411764705882353
15,0.0001,sigmoid,scale,2,0.5411764705882353
16,0.0001,sigmoid,scale,3,0.5411764705882353
17,0.0001,sigmoid,scale,4,0.5411764705882353
18,0.0001,sigmoid,scale,5,0.5411764705882353
19,0.0001,sigmoid,scale,6,0.5411764705882353
20,0.0001,sigmoid,scale,7,0.5411764705882353
21,0.0001,sigmoid,auto,1,0.5411764705882353
22,0.0001,sigmoid,auto,2,0.5411764705882353
23,0.0001,sigmoid,auto,3,0.5411764705882353
24,0.0001,sigmoid,auto,4,0.5411764705882353
25,0.0001,sigmoid,auto,5,0.5411764705882353
26,0.0001,sigmoid,auto,6,0.5411764705882353
27,0.0001,sigmoid,auto,7,0.5411764705882353
28,0.0001,poly,scale,1,0.5411764705882353
29,0.0001,poly,scale,2,0.5411764705882353
30,0.0001,poly,scale,3,0.5411764705882353
31,0.0001,poly,scale,4,0.5411764705882353
32,0.0001,poly,scale,5,0.5411764705882353
33,0.0001,poly,scale,6,0.5411764705882353
74,0.001,sigmoid,scale,5,0.5411764705882353
35,0.0001,poly,auto,1,0.5411764705882353
42,0.0001,rbf,scale,1,0.5411764705882353
43,0.0001,rbf,scale,2,0.5411764705882353
73,0.001,sigmoid,scale,4,0.5411764705882353
193,0.1,sigmoid,auto,5,0.5411764705882353
75,0.001,sigmoid,scale,6,0.5411764705882353
126,0.01,sigmoid,scale,1,0.5411764705882353
108,0.001,rbf,auto,4,0.5411764705882353
109,0.001,rbf,auto,5,0.5411764705882353
110,0.001,rbf,auto,6,0.5411764705882353
111,0.001,rbf,auto,7,0.5411764705882353
249,1.0,sigmoid,auto,5,0.5411764705882353
76,0.001,sigmoid,scale,7,0.5411764705882353
250,1.0,sigmoid,auto,6,0.5411764705882353
251,1.0,sigmoid,auto,7,0.5411764705882353
163,0.01,rbf,auto,3,0.5411764705882353
139,0.01,sigmoid,auto,7,0.5411764705882353
138,0.01,sigmoid,auto,6,0.5411764705882353
127,0.01,sigmoid,scale,2,0.5411764705882353
164,0.01,rbf,auto,4,0.5411764705882353
128,0.01,sigmoid,scale,3,0.5411764705882353
129,0.01,sigmoid,scale,4,0.5411764705882353
130,0.01,sigmoid,scale,5,0.5411764705882353
131,0.01,sigmoid,scale,6,0.5411764705882353
132,0.01,sigmoid,scale,7,0.5411764705882353
133,0.01,sigmoid,auto,1,0.5411764705882353
134,0.01,sigmoid,auto,2,0.5411764705882353
135,0.01,sigmoid,auto,3,0.5411764705882353
136,0.01,sigmoid,auto,4,0.5411764705882353
137,0.01,sigmoid,auto,5,0.5411764705882353
166,0.01,rbf,auto,6,0.5411764705882353
107,0.001,rbf,auto,3,0.5411764705882353
106,0.001,rbf,auto,2,0.5411764705882353
105,0.001,rbf,auto,1,0.5411764705882353
104,0.001,rbf,scale,7,0.5411764705882353
77,0.001,sigmoid,auto,1,0.5411764705882353
78,0.001,sigmoid,auto,2,0.5411764705882353
79,0.001,sigmoid,auto,3,0.5411764705882353
80,0.001,sigmoid,auto,4,0.5411764705882353
81,0.001,sigmoid,auto,5,0.5411764705882353
82,0.001,sigmoid,auto,6,0.5411764705882353
83,0.001,sigmoid,auto,7,0.5411764705882353
84,0.001,poly,scale,1,0.5411764705882353
85,0.001,poly,scale,2,0.5411764705882353
86,0.001,poly,scale,3,0.5411764705882353
162,0.01,rbf,auto,2,0.5411764705882353
161,0.01,rbf,auto,1,0.5411764705882353
245,1.0,sigmoid,auto,1,0.5411764705882353
246,1.0,sigmoid,auto,2,0.5411764705882353
247,1.0,sigmoid,auto,3,0.5411764705882353
248,1.0,sigmoid,auto,4,0.5411764705882353
194,0.1,sigmoid,auto,6,0.5411764705882353
98,0.001,rbf,scale,1,0.5411764705882353
99,0.001,rbf,scale,2,0.5411764705882353
100,0.001,rbf,scale,3,0.5411764705882353
101,0.001,rbf,scale,4,0.5411764705882353
102,0.001,rbf,scale,5,0.5411764705882353
103,0.001,rbf,scale,6,0.5411764705882353
165,0.01,rbf,auto,5,0.5411764705882353
358,100.0,sigmoid,auto,2,0.16470588235294117
363,100.0,sigmoid,auto,7,0.16470588235294117
362,100.0,sigmoid,auto,6,0.16470588235294117
361,100.0,sigmoid,auto,5,0.16470588235294117
360,100.0,sigmoid,auto,4,0.16470588235294117
359,100.0,sigmoid,auto,3,0.16470588235294117
357,100.0,sigmoid,auto,1,0.16470588235294117
301,10.0,sigmoid,auto,1,0.16470588235294117
302,10.0,sigmoid,auto,2,0.16470588235294117
303,10.0,sigmoid,auto,3,0.16470588235294117
304,10.0,sigmoid,auto,4,0.16470588235294117
306,10.0,sigmoid,auto,6,0.16470588235294117
307,10.0,sigmoid,auto,7,0.16470588235294117
305,10.0,sigmoid,auto,5,0.16470588235294117
